"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"62168",3,4,4,5,3,4,4,4,2,2,4,3,3,3,5,3,3,3,2,2,5,4,4,4,3
"62170",5,6,5,5,6,5,4,6,1,2,1,3,5,6,5,1,4,1,3,2,4,5,4,6,2
"62171",1,6,5,6,5,3,3,5,4,4,4,5,4,3,5,2,2,3,5,4,5,3,5,6,2
"62173",1,6,6,6,5,6,4,4,1,5,1,1,6,3,3,3,5,5,2,4,6,6,4,6,1
"62176",4,4,6,5,4,4,5,3,5,4,2,4,4,5,3,2,4,2,3,3,5,4,4,4,4
"62179",5,5,5,1,5,6,5,2,6,6,4,4,6,3,3,5,4,4,5,4,6,6,6,6,4
"62180",3,4,4,3,2,6,5,5,1,3,2,5,5,2,5,4,5,3,6,1,6,1,6,6,1
"62181",6,6,6,6,6,5,5,6,6,1,1,1,6,6,6,6,3,2,2,5,1,2,6,6,6
"62182",2,6,5,6,5,6,5,5,1,1,5,1,5,5,6,5,4,2,2,1,6,1,5,6,2
"62183",4,1,4,6,6,6,4,4,2,6,1,1,6,6,5,1,2,1,1,1,4,3,4,2,5
"62189",3,5,4,5,5,5,6,5,2,1,3,3,4,6,5,1,2,2,1,2,4,5,3,4,3
"62192",2,4,5,5,5,4,4,4,2,3,3,4,3,5,3,5,5,2,4,4,4,4,4,2,2
"62197",1,5,5,5,5,5,4,5,1,1,2,2,3,5,5,1,2,2,2,2,2,2,5,4,2
"62198",1,6,6,5,5,5,6,5,2,5,4,4,3,6,5,3,4,2,2,6,4,2,5,5,3
"62199",4,5,4,3,4,4,4,5,4,5,4,4,4,4,5,2,2,5,5,3,6,2,3,6,6
"62201",3,5,4,5,5,5,5,3,4,6,1,6,5,6,6,6,6,5,4,5,6,6,3,4,2
"62202",4,5,6,4,6,4,5,5,3,3,1,1,5,5,6,2,4,4,NA,1,6,2,5,5,3
"62203",1,6,6,6,6,6,5,6,1,3,1,1,6,6,6,1,1,1,3,3,6,1,6,5,3
"62204",1,5,6,6,6,5,6,6,5,1,4,1,6,6,5,5,1,5,5,2,6,5,5,5,2
"62205",2,4,4,4,5,4,5,4,2,4,1,1,5,6,6,4,5,6,4,4,6,3,5,4,1
"62206",3,5,6,6,6,4,5,6,3,1,2,1,5,2,6,5,4,1,2,3,4,5,5,6,4
"62208",1,5,6,5,6,6,5,5,1,2,2,1,5,5,6,2,2,2,2,1,5,1,6,4,2
"62209",1,4,4,2,5,5,4,3,2,4,5,5,4,2,3,4,4,4,5,4,4,2,2,5,4
"62212",4,6,6,6,5,4,4,5,2,5,1,1,4,5,5,4,5,4,4,5,5,1,6,6,1
"62213",2,6,5,6,3,3,3,5,3,5,1,4,3,5,2,4,5,6,4,4,2,4,3,6,3
"62214",3,4,5,4,4,4,4,3,4,5,5,4,3,3,4,5,5,3,3,3,4,3,5,5,3
"62215",2,6,6,6,6,5,4,5,1,1,1,1,5,5,5,4,3,2,2,3,5,1,5,4,2
"62216",2,2,2,4,3,3,2,4,4,6,4,4,3,3,3,1,3,3,5,1,4,6,3,4,4
"62219",2,5,4,6,4,4,5,4,3,4,1,3,3,4,4,4,4,5,3,5,4,4,4,4,2
"62220",3,4,6,6,4,4,4,5,5,4,2,4,4,3,3,6,6,6,4,5,3,4,5,4,4
"62224",1,5,5,6,5,5,4,5,2,1,1,3,5,6,5,3,4,4,3,4,5,3,4,4,2
"62225",2,5,6,5,4,3,5,5,2,1,4,5,4,1,6,6,6,6,6,4,4,2,6,6,2
"62226",2,4,2,4,4,5,3,5,2,3,6,4,4,5,5,4,4,3,3,2,5,2,5,5,4
"62227",1,6,6,6,6,6,4,4,3,4,1,1,6,6,6,1,2,4,2,2,6,1,6,6,1
"62228",1,6,6,6,5,5,4,6,2,2,2,4,4,6,3,5,6,3,2,4,3,5,3,3,1
"62231",1,5,5,6,5,2,4,5,5,5,3,5,5,5,2,3,4,4,4,2,1,4,3,5,4
"62233",2,5,5,5,5,5,5,5,2,1,2,2,4,5,5,1,1,1,1,1,5,1,5,2,2
"62237",3,4,5,5,5,4,4,5,4,4,5,4,3,NA,4,3,4,2,4,4,3,5,3,3,4
"62239",3,6,5,5,5,4,4,5,4,4,1,2,5,6,6,4,4,4,3,5,6,2,5,4,3
"62240",1,5,6,4,6,5,3,3,4,5,1,1,5,6,5,4,6,6,5,6,6,2,6,5,1
"62242",5,6,6,6,6,4,5,4,3,5,1,2,4,6,6,4,5,1,2,3,6,6,5,6,2
"62244",1,6,6,1,5,5,6,6,5,6,1,3,6,5,5,4,4,1,2,2,5,3,4,5,5
"62245",3,4,4,4,3,3,2,2,4,6,5,3,4,4,5,4,5,2,3,1,4,2,5,5,3
"62246",4,5,5,6,6,3,5,6,2,1,6,6,1,5,6,2,3,3,2,1,5,3,1,3,4
"62252",3,4,4,3,4,4,4,4,4,3,3,4,3,4,3,4,4,3,3,3,4,3,4,4,3
"62259",1,5,5,6,5,5,6,2,1,5,3,3,5,6,4,2,4,5,4,4,6,1,6,6,1
"62260",1,5,5,5,4,4,4,4,2,2,4,4,4,2,5,1,2,1,1,2,4,2,5,6,2
"62261",2,6,6,5,5,5,2,6,5,5,6,5,3,4,2,2,2,2,4,2,4,5,3,4,3
"62263",3,5,6,4,5,4,3,5,3,4,1,2,4,5,4,2,3,5,4,3,4,3,5,6,5
"62264",4,5,4,5,4,5,5,4,1,1,2,2,4,5,5,3,4,4,4,4,5,1,5,4,1
"62265",2,6,4,2,5,5,5,4,2,4,2,4,3,2,6,2,5,6,5,2,6,1,6,NA,1
"62266",5,2,3,2,3,5,4,3,2,3,4,5,4,4,1,2,4,5,5,4,5,1,5,6,3
"62267",1,6,5,6,5,5,6,6,2,1,5,2,5,1,6,5,4,5,4,2,6,5,3,6,5
"62272",3,4,4,4,4,6,6,5,1,2,2,2,5,5,6,2,2,2,2,4,5,6,6,6,4
"62276",1,6,6,4,6,4,5,5,2,3,1,1,6,6,5,3,5,5,2,2,5,5,6,6,NA
"62278",3,5,6,6,6,3,5,3,2,2,2,4,4,4,4,2,3,1,2,3,5,5,4,5,NA
"62279",1,6,5,4,5,6,5,5,1,2,1,4,1,5,4,2,4,4,2,6,2,1,4,6,4
"62280",2,5,5,6,5,4,4,4,1,2,3,2,4,5,5,1,1,1,2,1,5,2,4,5,2
"62281",1,6,6,6,6,5,4,6,1,2,1,2,6,6,6,1,4,4,1,1,5,4,6,4,4
"62282",3,5,5,6,1,6,5,5,4,6,1,1,6,3,6,6,6,6,5,1,6,1,6,3,1
"62287",2,4,4,6,2,5,5,5,2,1,3,6,5,4,5,5,5,6,5,5,5,2,4,6,1
"62288",3,5,6,4,6,2,1,5,6,6,1,1,5,5,1,1,1,3,6,4,6,2,2,4,1
"62289",3,5,4,2,2,4,4,4,2,2,4,4,2,4,4,5,6,6,6,6,5,1,3,6,2
"62290",2,5,3,2,2,5,3,4,4,4,2,2,4,4,5,2,2,4,2,2,4,2,5,6,1
"62293",2,6,6,6,6,4,5,5,1,2,2,2,3,5,6,2,3,3,1,1,5,2,3,2,1
"62295",2,2,6,2,2,6,6,6,1,2,6,2,6,1,6,5,5,5,5,1,6,1,6,6,1
"62296",2,6,6,6,6,4,5,4,2,2,1,1,5,6,5,2,2,2,1,2,4,1,5,5,4
"62298",5,2,2,2,5,5,5,6,2,5,4,5,3,3,3,5,5,5,6,5,5,1,5,6,1
"62299",4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3
"62300",3,3,4,6,3,4,4,3,4,4,5,5,2,3,5,4,5,4,4,2,5,2,3,4,3
"62301",1,6,5,6,5,5,5,5,2,4,2,2,5,5,5,2,4,2,4,1,5,1,6,6,1
"62303",2,NA,5,5,2,5,5,6,1,2,6,5,2,4,5,2,2,4,2,4,4,1,NA,4,4
"62305",4,5,5,6,4,4,4,3,3,4,6,6,3,2,3,4,4,3,3,5,NA,4,3,6,2
"62307",1,5,4,5,6,6,6,2,6,6,1,1,6,6,6,6,6,6,6,5,6,5,6,6,1
"62312",2,2,5,4,4,5,5,4,3,5,5,5,4,5,4,3,2,4,4,2,6,2,6,6,2
"62313",1,6,6,6,4,5,5,3,4,5,4,4,4,5,3,4,4,5,6,4,6,1,6,6,1
"62316",2,6,5,5,6,4,6,5,1,2,3,2,5,5,5,1,2,3,NA,2,5,2,6,4,2
"62317",4,4,3,2,3,4,4,5,2,3,2,4,4,1,5,6,6,5,5,5,4,1,5,5,4
"62325",1,4,6,6,6,5,6,4,1,1,3,4,6,6,6,1,3,3,4,2,6,1,6,5,1
"62327",2,6,6,6,5,4,6,6,2,5,6,6,2,3,4,5,NA,5,5,6,6,4,1,6,4
"62328",3,2,6,1,6,3,1,5,2,5,3,5,2,4,5,5,6,6,6,5,NA,2,1,6,1
"62330",3,5,5,5,5,3,5,5,2,1,1,1,5,6,5,6,6,5,5,3,5,5,6,6,4
"62333",1,6,6,6,6,6,6,6,1,1,5,1,6,6,6,1,6,1,1,1,6,1,3,6,1
"62335",2,5,5,6,4,3,3,4,4,2,5,5,4,3,3,2,4,5,6,4,4,5,4,5,4
"62336",1,5,4,3,2,6,5,2,1,5,2,2,1,2,2,4,4,5,5,2,4,3,4,5,3
"62339",3,5,3,4,4,3,2,5,4,5,2,5,3,3,4,4,5,4,2,2,4,5,3,5,4
"62342",1,5,5,5,5,4,1,2,6,3,2,1,5,3,6,6,5,2,4,NA,6,1,6,6,1
"62343",2,4,2,6,5,5,4,4,6,5,5,6,3,3,5,4,4,4,3,4,3,2,2,2,4
"62344",1,6,5,6,5,5,6,4,2,4,1,1,5,6,6,2,2,4,2,2,4,5,6,5,1
"62345",2,4,4,6,5,4,4,4,3,4,1,1,5,5,6,2,4,3,3,1,6,1,6,4,2
"62346",1,5,5,5,5,5,4,5,3,3,3,2,5,5,5,5,5,4,4,3,6,4,6,6,2
"62347",2,4,5,6,5,4,3,3,5,5,5,4,5,3,1,3,4,4,5,5,4,2,4,5,2
"62348",5,5,5,6,5,4,5,6,4,3,5,4,4,4,6,6,6,6,5,4,3,6,3,5,4
"62349",2,5,5,6,5,6,6,5,1,3,1,1,4,4,6,4,4,1,5,3,5,2,4,6,1
"62350",2,5,1,6,4,4,4,6,4,2,4,3,4,5,4,3,5,4,4,4,4,4,5,5,4
"62351",4,6,6,4,4,6,4,6,1,4,1,5,5,2,5,4,6,4,2,5,6,3,4,6,2
"62352",2,5,5,6,5,5,5,5,1,1,2,2,4,5,4,3,4,4,4,4,4,3,4,5,3
"62353",3,5,1,4,4,2,4,4,4,4,4,2,5,4,5,4,4,5,2,1,5,1,6,5,1
"62354",2,5,5,4,5,4,4,5,3,2,4,5,5,6,3,5,6,2,1,4,4,5,4,3,3
"62358",2,3,6,4,5,3,3,5,3,4,3,1,6,5,6,1,2,4,4,1,6,5,6,6,4
"62359",1,5,5,6,5,5,5,5,2,4,4,NA,4,5,3,3,5,4,4,4,5,5,4,5,3
"62360",4,2,5,5,5,4,4,3,4,6,4,2,3,3,4,2,2,4,3,2,4,3,3,5,4
"62362",1,5,5,5,4,5,4,5,4,5,5,5,1,2,4,5,5,2,3,3,4,2,5,6,1
"62363",2,5,5,6,6,4,5,2,4,4,6,5,5,4,4,1,3,4,4,6,5,2,5,5,3
"62366",4,3,6,6,6,5,6,5,1,3,1,1,3,5,6,1,6,4,2,1,5,1,5,1,2
"62367",3,4,6,6,6,6,4,5,1,2,4,1,5,4,5,5,5,4,4,6,4,4,5,5,2
"62368",1,6,1,6,5,4,1,2,5,6,1,1,5,5,6,2,4,6,6,5,6,1,6,6,1
"62369",1,5,3,6,5,2,5,5,1,2,2,4,6,5,5,1,2,2,3,3,6,1,5,6,1
"62370",1,6,6,4,5,4,5,2,3,6,3,4,4,6,4,2,4,4,2,5,5,1,4,5,2
"62371",4,5,2,6,5,3,2,4,3,6,1,5,4,3,2,5,6,2,2,5,4,2,4,5,3
"62375",1,6,5,3,6,5,6,6,1,2,4,4,4,6,5,4,4,3,2,1,6,1,5,6,1
"62376",NA,5,4,3,4,4,3,3,3,4,4,2,4,4,4,3,3,4,3,2,5,2,4,4,3
"62377",4,6,5,6,6,5,5,5,5,4,1,1,6,6,6,4,4,6,4,1,6,2,6,6,2
"62380",1,6,5,2,2,4,1,5,6,6,6,6,3,2,1,4,5,5,5,2,5,6,5,6,2
"62382",6,6,6,6,6,3,6,2,5,5,2,2,6,6,6,6,6,6,6,6,6,5,5,6,2
"62384",1,4,2,5,3,5,5,5,3,4,4,5,3,3,2,2,2,3,4,5,4,2,4,5,2
"62387",3,5,4,4,3,5,5,4,2,4,5,2,3,4,4,4,4,4,3,2,6,1,5,5,2
"62390",1,6,6,6,6,6,5,4,1,1,1,1,6,6,6,1,1,1,1,1,6,1,6,6,1
"62391",2,5,5,5,3,5,5,5,1,4,4,4,3,3,5,4,4,4,4,2,6,1,5,4,1
"62394",1,5,3,5,4,5,4,3,1,4,3,2,4,5,5,3,4,2,3,2,5,4,4,5,1
"62397",1,6,5,6,6,6,6,6,1,1,1,1,4,6,5,1,1,1,1,1,6,1,6,6,1
"62401",1,5,5,6,4,5,5,4,1,1,3,3,3,4,5,2,2,2,2,4,5,1,5,5,1
"62408",4,4,5,1,5,5,4,4,2,5,1,4,6,6,5,3,4,4,2,5,3,3,5,6,5
"62412",2,3,4,1,2,3,5,3,1,1,6,6,1,2,3,1,1,2,2,2,5,2,3,5,3
"62416",2,6,6,4,6,6,5,5,3,2,1,1,3,6,5,1,1,1,1,1,5,1,5,1,6
"62419",4,6,6,6,5,4,5,6,NA,1,1,3,6,6,6,1,6,6,3,4,6,1,6,5,1
"62421",4,4,4,4,5,5,5,4,2,3,4,2,4,4,5,2,4,5,4,5,4,1,4,5,3
"62423",2,6,5,6,3,5,6,5,2,3,3,2,5,5,5,3,5,5,1,4,4,2,4,6,2
"62426",2,4,4,6,NA,5,4,5,4,4,6,4,4,5,2,1,2,3,4,2,3,1,2,4,5
"62433",5,6,6,5,6,5,6,2,2,4,3,4,5,5,5,3,3,2,4,3,6,4,5,6,4
"62434",1,5,6,6,6,6,5,5,1,1,2,4,5,6,5,2,3,2,2,4,5,1,4,5,2
"62435",2,5,5,4,6,5,5,5,2,2,5,4,5,4,5,1,1,1,1,3,5,4,4,4,2
"62438",4,4,4,NA,5,4,4,4,NA,3,4,2,4,NA,5,4,4,4,4,4,5,4,NA,5,2
"62440",1,6,5,5,6,3,4,5,5,6,4,5,6,6,4,4,4,4,6,4,6,1,6,6,3
"62443",4,2,4,6,5,5,5,4,1,2,3,2,3,5,5,3,4,2,1,1,3,4,1,4,2
"62444",2,5,5,4,4,2,3,3,4,3,1,6,4,3,6,4,5,4,4,2,6,2,5,6,2
"62447",2,6,6,6,6,5,5,5,1,5,5,1,5,5,6,5,5,5,4,2,6,2,6,5,1
"62448",1,6,2,6,5,5,5,5,4,2,2,6,1,4,5,4,2,1,2,3,6,5,3,6,5
"62450",1,6,6,6,6,6,5,3,3,4,2,1,5,5,6,2,4,4,3,1,6,1,6,6,2
"62453",2,5,5,6,4,4,5,4,2,3,2,3,4,4,5,3,3,1,1,2,5,1,4,4,2
"62454",3,3,6,2,6,3,4,3,4,4,1,1,6,6,5,3,3,4,1,2,NA,4,6,5,2
"62457",4,4,NA,3,4,5,3,4,3,3,2,2,3,3,5,3,3,2,2,2,5,2,3,4,5
"62462",1,5,3,4,4,6,4,4,1,1,3,4,3,5,5,3,3,3,1,3,4,4,3,4,3
"62463",2,6,5,4,5,5,2,5,3,2,2,4,4,6,4,5,5,4,4,5,2,4,4,5,3
"62464",1,5,5,6,5,5,4,4,4,4,1,2,4,6,4,4,5,5,3,5,2,2,6,5,2
"62467",3,4,3,5,5,3,2,2,3,2,4,2,3,4,3,2,3,2,3,1,5,3,4,4,4
"62468",1,6,6,5,2,4,2,2,5,4,6,1,5,6,1,3,5,4,4,2,6,1,4,6,3
"62469",3,5,5,4,4,5,5,6,1,1,2,1,4,5,5,4,4,2,1,2,5,1,5,5,1
"62470",2,6,5,5,6,5,4,2,2,4,2,4,5,5,3,1,NA,1,1,2,4,2,4,5,3
"62474",4,5,5,4,5,2,6,6,1,1,6,1,5,5,5,4,5,3,4,5,6,1,6,5,1
"62476",4,3,2,5,3,4,2,4,4,5,5,4,4,4,2,5,4,5,5,3,6,1,6,6,3
"62479",1,4,6,5,6,5,6,5,1,1,2,2,6,6,4,4,4,2,1,1,5,1,6,5,2
"62480",1,5,6,6,3,5,5,4,2,4,1,3,4,5,5,5,5,4,5,5,5,2,5,6,1
"62481",3,4,4,5,4,5,5,6,1,2,3,3,2,4,5,4,4,4,2,1,5,3,2,3,4
"62486",3,4,5,2,3,5,3,4,1,1,6,5,2,1,3,3,3,2,3,2,5,5,2,2,5
"62489",1,6,5,6,5,4,4,5,2,5,3,2,5,5,4,1,1,1,1,1,6,1,4,5,2
"62491",3,6,6,6,4,5,2,5,4,3,4,2,3,4,5,4,4,6,5,4,3,6,1,5,4
"62493",1,6,3,5,3,2,3,2,3,4,4,2,3,3,4,4,6,6,6,6,6,1,4,6,1
"62494",1,2,1,4,2,6,5,5,1,1,6,6,4,1,3,2,5,1,5,5,6,1,5,6,1
"62496",3,5,5,6,3,5,2,4,1,5,1,1,3,3,5,5,5,2,2,2,6,1,6,4,1
"62497",4,6,5,6,6,5,3,2,3,5,1,2,3,4,5,4,4,5,1,5,6,3,4,4,5
"62498",1,5,6,6,6,1,5,6,4,1,6,6,3,2,5,4,1,2,6,6,6,5,2,6,5
"62499",3,5,5,6,5,5,4,5,2,3,2,4,4,5,4,4,5,5,5,4,5,2,3,5,4
"62500",3,6,5,6,6,5,6,5,1,3,1,2,5,6,6,2,4,3,2,2,5,3,5,4,3
"62502",1,6,6,6,6,1,5,6,1,1,1,6,5,5,1,1,3,1,2,1,6,1,5,6,1
"62505",1,6,4,6,6,5,6,4,3,4,3,2,5,6,2,5,6,6,6,6,6,6,6,6,1
"62508",3,6,5,6,5,5,6,6,1,2,1,2,5,6,6,5,2,1,NA,4,4,5,6,5,4
"62509",1,6,6,5,6,6,5,6,2,2,5,4,5,3,3,1,5,5,5,6,6,5,3,6,1
"62512",5,NA,5,6,5,6,6,5,NA,2,5,2,6,3,6,4,NA,NA,4,1,6,1,3,2,1
"62514",5,NA,5,6,5,6,6,5,1,2,5,2,6,3,6,4,3,2,4,1,6,1,3,2,1
"62518",2,6,6,6,6,6,6,5,1,1,1,1,6,5,6,1,1,2,2,1,6,1,6,5,1
"62520",NA,6,6,6,6,4,5,4,1,1,4,1,6,6,6,1,3,3,2,NA,6,1,3,4,1
"62522",1,6,6,6,6,6,5,4,2,3,1,1,6,6,5,1,2,2,1,2,5,1,6,5,3
"62526",2,6,5,6,5,5,4,1,3,1,4,1,6,6,5,5,5,5,5,5,4,1,6,5,5
"62527",2,5,2,4,2,2,3,2,3,5,5,5,4,2,5,3,4,4,4,4,5,3,5,5,2
"62528",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,2,5,3,5,2,5,2,5,6,1
"62529",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,2,5,2,5,2,5,6,1
"62530",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,4,3,4,2,5,2,5,6,1
"62531",2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,5,4,4,2,5,2,5,6,1
"62532",2,5,5,5,5,5,6,4,2,4,2,2,4,2,4,1,5,4,4,2,5,2,5,6,1
"62533",2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,2,5,6,1
"62535",2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,5,4,4,2,5,3,5,6,2
"62537",2,5,2,6,5,2,2,2,4,5,2,1,4,5,2,2,2,2,2,1,6,5,2,3,4
"62538",4,5,6,6,3,6,6,6,1,1,2,4,4,5,6,6,6,6,3,2,6,1,6,6,1
"62541",2,6,6,6,5,6,5,6,4,4,4,1,4,6,5,1,1,1,5,1,6,1,6,6,1
"62542",5,4,5,6,4,6,5,6,1,3,5,5,5,5,6,6,6,4,6,5,5,6,4,6,1
"62543",2,5,6,5,5,4,5,5,1,NA,6,5,3,2,5,4,4,1,1,1,6,1,4,6,1
"62545",1,4,4,5,4,2,5,2,4,3,6,5,3,5,5,6,6,6,5,6,3,6,4,5,2
"62546",4,4,4,5,5,4,4,4,2,4,4,5,4,5,5,4,4,5,3,2,4,5,5,4,2
"62547",1,6,6,6,5,6,5,6,5,4,5,1,5,6,5,1,1,2,5,1,6,4,6,6,2
"62548",2,6,6,5,4,4,3,5,1,2,5,2,4,2,5,1,1,1,5,1,5,6,2,5,2
"62550",2,5,6,6,5,4,4,4,2,4,3,3,5,5,5,2,3,2,2,1,4,2,5,5,3
"62551",5,4,2,2,1,4,4,3,6,6,4,1,4,2,6,6,6,6,6,6,6,3,1,6,1
"62552",6,1,1,4,1,6,6,6,1,1,6,6,1,1,2,1,1,1,1,1,6,5,6,6,4
"62553",1,6,6,6,5,6,6,6,1,1,2,3,6,5,6,3,3,3,1,2,6,1,6,5,1
"62555",4,4,3,4,2,3,4,4,5,5,6,5,2,2,2,5,4,4,5,5,5,5,4,4,3
"62556",4,5,5,5,4,5,5,4,3,3,3,2,5,5,6,4,2,3,1,3,4,1,5,NA,2
"62557",3,6,6,6,5,5,5,5,1,2,1,1,5,5,6,4,4,3,2,1,6,1,5,5,1
"62559",5,6,5,6,5,5,5,5,4,3,3,2,5,6,5,2,3,2,5,4,6,1,5,2,1
"62561",1,6,5,6,5,6,4,5,1,1,1,1,5,5,6,4,5,4,1,5,5,6,5,5,2
"62562",2,5,4,6,5,3,5,5,1,2,4,3,2,5,6,2,2,1,1,2,5,2,4,3,4
"62565",1,6,6,6,6,1,6,6,1,1,1,1,6,6,6,1,4,5,1,1,6,1,6,6,1
"62567",2,5,6,5,4,6,6,4,1,5,1,2,4,5,5,5,5,5,2,2,6,1,6,6,1
"62570",2,2,2,1,3,3,4,2,5,5,5,6,2,1,1,2,3,1,2,5,6,2,6,6,1
"62573",5,4,4,4,3,6,6,6,1,6,3,2,4,4,5,6,6,4,4,3,6,3,5,4,3
"62574",2,5,4,4,6,4,3,3,2,4,3,2,4,5,3,1,1,2,4,2,3,4,5,5,3
"62577",2,5,5,5,5,2,1,2,5,4,5,5,5,4,2,5,5,5,6,4,5,6,4,6,2
"62578",1,5,6,6,5,5,5,6,1,3,3,3,5,6,5,1,2,1,2,2,6,2,5,6,2
"62582",3,6,5,6,6,5,3,3,2,2,1,3,6,4,6,5,6,4,5,5,6,1,5,6,1
"62589",1,5,1,5,5,5,4,3,2,2,2,4,3,5,4,1,3,5,2,4,4,2,4,5,2
"62590",1,5,6,5,5,5,4,4,1,4,1,2,3,6,4,1,1,1,1,2,4,1,4,5,2
"62594",2,6,NA,5,5,6,5,6,2,3,1,1,6,6,6,2,3,4,1,2,6,6,5,4,2
"62597",2,5,5,5,4,6,2,4,2,5,1,2,5,5,5,4,5,5,5,4,6,2,5,6,1
"62599",1,5,5,6,6,6,1,5,3,1,6,6,1,5,1,4,5,5,6,1,6,5,1,6,4
"62604",1,5,6,6,6,6,5,6,1,2,1,1,5,6,NA,2,4,2,3,5,6,4,6,6,1
"62605",3,5,5,6,5,5,5,3,4,1,4,3,4,4,5,5,6,6,2,2,5,2,5,6,3
"62606",2,6,6,6,6,5,5,3,1,1,1,4,5,6,4,1,1,1,1,1,5,1,5,3,4
"62610",1,6,5,6,6,5,6,5,1,1,3,4,3,6,4,3,4,4,3,5,3,3,4,5,4
"62611",2,2,4,3,2,4,3,4,3,4,4,2,1,5,4,4,4,4,5,1,3,2,2,4,4
"62612",2,4,4,3,3,4,2,4,4,2,5,3,3,4,4,2,3,3,3,3,4,2,3,3,3
"62613",4,2,1,3,1,3,1,2,4,2,3,4,1,3,2,4,5,4,3,3,2,4,2,6,2
"62615",6,5,5,6,6,3,1,4,5,2,3,1,6,5,3,1,1,4,3,1,6,6,6,6,3
"62617",2,6,6,6,6,6,6,6,1,1,3,6,6,1,6,4,4,1,1,3,6,1,6,2,1
"62618",2,5,6,5,4,4,3,4,5,4,1,2,4,6,5,6,6,6,3,2,4,3,2,3,5
"62622",1,6,6,6,6,6,6,5,1,4,1,1,6,6,6,4,6,5,2,4,6,5,6,6,1
"62623",1,6,2,6,6,5,4,2,1,2,1,1,5,6,5,5,4,4,4,5,6,1,6,5,1
"62625",1,6,6,6,6,6,5,5,1,2,2,1,5,5,6,2,4,2,2,4,6,2,6,6,2
"62627",1,3,2,6,3,5,5,5,2,4,5,6,1,3,3,3,4,1,4,1,2,6,1,5,3
"62635",3,5,2,5,5,4,4,NA,4,5,4,2,5,3,4,2,4,5,4,4,4,3,5,5,2
"62638",2,6,6,2,6,6,3,5,1,2,1,1,5,5,6,1,2,2,1,1,5,1,6,4,1
"62640",1,5,6,6,6,6,5,5,5,1,6,5,5,5,2,1,1,4,1,5,6,6,6,6,5
"62642",2,5,5,6,5,6,5,5,3,3,2,3,4,5,5,1,2,2,2,2,6,5,5,4,1
"62643",1,4,4,6,4,3,4,2,2,2,2,4,4,4,4,4,4,5,4,4,3,4,3,5,3
"62644",2,6,5,6,4,5,6,5,1,2,1,4,5,5,5,4,4,5,5,6,4,1,6,6,1
"62645",1,5,5,6,5,5,5,5,1,3,6,4,2,5,5,2,2,4,2,2,5,2,5,3,1
"62646",1,6,6,3,6,3,4,6,5,2,6,1,6,6,6,2,5,2,3,4,4,2,6,3,1
"62647",4,5,5,6,5,5,5,5,2,2,4,2,2,6,2,1,2,5,2,4,2,6,3,3,3
"62648",1,6,5,5,2,1,4,6,4,NA,3,1,1,3,5,4,4,4,1,4,6,2,4,3,2
"62650",2,5,1,6,6,6,6,5,1,1,2,1,6,5,6,2,4,2,2,5,6,1,5,4,1
"62652",1,6,5,3,4,4,3,3,1,1,6,3,3,3,5,1,3,NA,5,3,6,3,3,3,4
"62653",4,3,5,5,5,4,6,5,2,3,4,1,5,6,6,5,6,5,4,2,6,6,5,5,1
"62654",4,4,5,6,5,5,6,6,1,2,3,4,5,6,6,3,3,1,4,1,5,1,5,5,2
"62657",2,6,4,2,5,6,3,5,2,1,3,2,4,5,5,3,5,3,1,1,5,2,4,4,2
"62662",4,5,4,5,4,5,4,4,5,5,1,4,6,5,6,6,6,6,5,5,5,2,5,5,5
"62664",1,5,6,5,6,6,5,5,1,2,2,1,5,1,5,4,5,4,5,4,5,4,4,6,1
"62665",3,6,6,6,6,4,5,3,1,1,1,1,5,6,3,1,1,1,2,1,5,3,5,1,1
"62667",1,6,6,6,6,5,6,5,1,1,5,2,6,6,6,1,1,1,2,2,5,6,6,6,2
"62668",5,6,5,4,5,1,6,5,3,4,4,1,6,5,6,4,4,4,4,NA,6,4,5,6,5
"62669",5,6,6,5,6,5,4,6,2,4,3,3,4,4,5,5,4,4,3,2,5,2,5,4,3
"62670",2,4,2,6,4,5,5,5,2,2,3,3,5,5,5,3,4,4,2,3,5,2,4,4,2
"62673",2,6,5,5,4,5,5,5,NA,2,1,4,4,6,5,1,4,5,2,6,4,4,4,5,2
"62675",1,6,5,5,6,6,6,4,1,2,2,4,4,5,5,3,3,4,3,4,5,4,4,5,2
"62677",1,6,6,6,6,1,4,4,4,1,5,1,6,6,6,6,4,6,5,5,6,6,6,3,6
"62679",2,4,6,5,6,5,4,4,1,2,4,3,6,5,4,2,5,4,3,4,5,1,5,6,1
"62681",1,5,6,6,5,5,4,4,1,2,1,4,4,4,5,4,4,4,2,1,2,6,4,5,1
"62682",3,5,5,6,5,3,6,3,3,1,4,2,4,5,6,3,3,4,2,4,5,3,5,4,4
"62683",6,1,6,6,6,6,5,6,1,1,4,1,6,6,6,1,1,1,1,1,6,4,5,5,5
